request_index,phase,logical_call,attempt,status,model,response_id,duplicate_response_id,utc,monotonic_ns,latency_s,stop_reason,input_uncached,cache_write,cache_read,output,thinking,write_5m,write_1h,service_tier,inference_geo,error,input_total,tokens_total,cost_usd
11,A,10,0,200,claude-opus-5-5,msg_011CfN51dwArJXi7PU1UvYyD,False,2026-09-24T10:00:11.157524+00:00,1835809399723630,24.063854002,tool_use,2,259,17024,322,160,259,0,standard,global,,17285,17607,0.0111478
12,A,11,0,200,claude-opus-5-5,msg_011CfN548c9oBGeCFshfxCsX,False,2026-09-24T10:00:36.714385+00:00,1835834956585104,31.886936572,tool_use,4,1805,17283,217,95,1805,0,standard,global,,19092,19309,0.016837599999999998
13,A,12,0,200,claude-opus-5-5,msg_011CfN56L8kW6C9h6UYDaSaX,False,2026-09-24T10:01:08.626629+00:00,1835866868829682,28.711320629,tool_use,2,332,19088,167,23,332,0,standard,global,,19422,19589,0.008825600000000001
14,A,13,0,200,claude-opus-5-5,msg_011CfN58VLgwBqmboDiYTBCD,False,2026-09-24T10:01:38.873027+00:00,1835897115227502,28.094698942,tool_use,4,1650,19420,192,45,1650,0,standard,global,,21074,21266,0.01599
15,A,14,0,200,claude-opus-5-5,msg_011CfN5AxXsjKZvvVeTzr6uN,False,2026-09-24T10:02:08.511490+00:00,1835926753690260,32.120607867,tool_use,4,1678,21070,191,38,1678,0,standard,global,,22752,22943,0.01644
16,A,15,0,200,claude-opus-5-5,msg_011CfN5DZphgm4pbndKmR1ER,False,2026-09-24T10:02:42.174460+00:00,1835960416660736,34.343154963,tool_use,4,1675,22748,224,63,1675,0,standard,global,,24427,24651,0.017420599999999998
17,A,16,0,200,claude-opus-5-5,msg_011CfN5GexNAKvg2CZW2pqQD,False,2026-09-24T10:03:16.559335+00:00,1835994801535160,40.827755261,tool_use,2,277,24423,166,23,277,0,standard,global,,24702,24868,0.0095976
18,A,17,0,200,claude-opus-5-5,msg_011CfN5LG1Ln9xPvu9HwhABp,False,2026-09-24T10:03:57.939161+00:00,1836036181361305,49.136674008,tool_use,4,1651,24700,162,46,1651,0,standard,global,,26355,26517,0.016451
19,A,18,0,200,claude-opus-5-5,msg_011CfN5Qq6XUxJK6JvHqTwor,False,2026-09-24T10:04:51.593028+00:00,1836089835227486,58.551074067,tool_use,4,1650,26351,253,98,1650,0,standard,global,,28005,28258,0.0185962
20,A,19,0,200,claude-opus-5-5,msg_011CfN5WCzJJPrq9hfvGd2UX,False,2026-09-24T10:05:52.379470+00:00,1836150621670096,70.555502196,tool_use,4,1741,28001,270,111,1741,0,standard,global,,29746,30016,0.0197212
21,A,20,0,200,claude-opus-5-5,msg_011CfN5btM3mPYLFZ6byyAE8,False,2026-09-24T10:07:05.177459+00:00,1836223419659230,73.499148066,tool_use,4,1759,29742,136,0,1759,0,standard,global,,31505,31641,0.017479400000000003
22,A,21,0,200,claude-opus-5-5,msg_011CfN5gxavY6Z2bkSSCijNX,False,2026-09-24T10:08:18.749119+00:00,1836296991319927,70.523809732,tool_use,2,154,31501,391,185,154,0,standard,global,,31657,32048,0.0148982
23,A,22,0,200,claude-opus-5-5,msg_011CfN5idKMt3je95NZmBcdh,False,2026-09-24T10:09:35.096271+00:00,1836373338470855,16.847912896,tool_use,4,1879,31655,345,203,1879,0,standard,global,,33538,33883,0.022642
24,A,23,0,200,claude-opus-5-5,msg_011CfN5kDM2DzyQebKa5S3dz,False,2026-09-24T10:09:53.571426+00:00,1836391813625744,17.963095546,tool_use,4,1834,33534,146,0,1834,0,standard,global,,35372,35518,0.018812799999999998
25,A,24,0,200,claude-opus-5-5,msg_011CfN5mjR43MnnbRmTAxYex,False,2026-09-24T10:10:13.185825+00:00,1836411428024679,19.562653997,tool_use,4,1637,35368,229,82,1637,0,standard,global,,37009,37238,0.0198546
26,A,25,0,200,claude-opus-5-5,msg_011CfN5oEL9EyUEVCMZKBtX9,False,2026-09-24T10:10:34.059161+00:00,1836432301361086,18.390979017,tool_use,4,1718,37005,116,0,1718,0,standard,global,,38727,38843,0.018327
27,A,26,0,200,claude-opus-5-5,msg_011CfN5q4UMwZzWMREhLLMTr,False,2026-09-24T10:10:56.933284+00:00,1836455175484027,21.065699419,tool_use,4,1605,38723,155,0,1605,0,standard,global,,40332,40487,0.0188856
28,A,27,0,200,claude-opus-5-5,msg_011CfN5rjokmv48D65ZpeEx7,False,2026-09-24T10:11:21.762529+00:00,1836480004729249,17.888838555,tool_use,4,1647,40328,67,0,1647,0,standard,global,,41979,42046,0.017656599999999998
29,A,28,0,200,claude-opus-5-5,msg_011CfN5tEpJC2Z5E9YtBvt67,False,2026-09-24T10:11:41.025044+00:00,1836499267244299,19.992223346,tool_use,4,1569,41975,103,0,1569,0,standard,global,,43548,43651,0.018316
30,RESTORE,29,0,200,claude-opus-5-5,msg_011CfN5uiyjzN15CbTqHFV6y,False,2026-09-24T10:12:01.163771+00:00,1836519405971743,19.471564577,tool_use,2,145,43544,172,0,145,0,standard,global,,43691,43863,0.0128818
31,RESTORE,30,0,,,,False,2026-09-24T10:12:27.227478+00:00,1836545469678452,120.582808784,,,,,,,,,,,The write operation timed out,,,
32,RESTORE,30,1,200,claude-opus-5-5,msg_011CfN6AhB1A2ANiM8EsbghL,False,2026-09-24T10:14:28.913817+00:00,1836667156016489,78.244305507,tool_use,4,1668,43689,173,0,1668,0,standard,global,,45361,45534,0.020553800000000004
33,RESTORE,31,0,413,,,False,2026-09-24T10:15:57.696522+00:00,1836755938722439,1.716183962,,,,,,,,,,,,,,
